
Processing hw4_chi2_plot.cc...
1 1.04
Histogram Bin Contents:
Format: <bin> <h1 content> <h2 content> <data content>
Bin 1: 0.0199338
Bin 2: 0.0198037
Bin 3: 0.0194959
Bin 4: 0.019305
Bin 5: 0.0190643
Bin 6: 0.0188826
Bin 7: 0.0186938
Bin 8: 0.0185534
Bin 9: 0.0182778
Bin 10: 0.0180967
Bin 11: 0.0179033
Bin 12: 0.0177835
Bin 13: 0.017502
Bin 14: 0.0173095
Bin 15: 0.0170709
Bin 16: 0.0168858
Bin 17: 0.016696
Bin 18: 0.0165231
Bin 19: 0.0163308
Bin 20: 0.016098
Bin 21: 0.0158825
Bin 22: 0.0156934
Bin 23: 0.0154678
Bin 24: 0.0152595
Bin 25: 0.01509
Bin 26: 0.0149301
Bin 27: 0.0147514
Bin 28: 0.014564
Bin 29: 0.0142891
Bin 30: 0.0141081
Bin 31: 0.0138181
Bin 32: 0.013705
Bin 33: 0.0135502
Bin 34: 0.0133692
Bin 35: 0.0131749
Bin 36: 0.0130486
Bin 37: 0.0129107
Bin 38: 0.0128106
Bin 39: 0.0127437
Bin 40: 0.0127086
Bin 41: 0.01269
Bin 42: 0.0126346
Bin 43: 0.0126693
Bin 44: 0.0127557
Bin 45: 0.0128475
Bin 46: 0.0128494
Bin 47: 0.0129944
Bin 48: 0.0129267
Bin 49: 0.0128238
Bin 50: 0.0127248
Bin 51: 0.0125507
Bin 52: 0.0122723
Bin 53: 0.0118937
Bin 54: 0.01154
Bin 55: 0.0111382
Bin 56: 0.0105785
Bin 57: 0.0101831
Bin 58: 0.009743
Bin 59: 0.0093071
Bin 60: 0.0088621
Bin 61: 0.0084602
Bin 62: 0.0081419
Bin 63: 0.0077723
Bin 64: 0.0075167
Bin 65: 0.0072889
Bin 66: 0.0069977
Bin 67: 0.0067739
Bin 68: 0.0065424
Bin 69: 0.0063097
Bin 70: 0.0060965
Bin 71: 0.0059268
Bin 72: 0.0057099
Bin 73: 0.0054827
Bin 74: 0.0053357
Bin 75: 0.0050342
Bin 76: 0.0049121
Bin 77: 0.0047016
Bin 78: 0.0045017
Bin 79: 0.0043037
Bin 80: 0.0041039
Bin 81: 0.0039044
Bin 82: 0.003688
Bin 83: 0.0035026
Bin 84: 0.0032926
Bin 85: 0.0030637
Bin 86: 0.0028967
Bin 87: 0.0027169
Bin 88: 0.0024656
Bin 89: 0.0023106
Bin 90: 0.0021355
Bin 91: 0.0019052
Bin 92: 0.0017068
Bin 93: 0.0015013
Bin 94: 0.0013113
Bin 95: 0.0011096
Bin 96: 0.0009032
Bin 97: 0.0006996
Bin 98: 0.0005096
Bin 99: 0.0002954
Bin 100: 9.86e-05
